CODEMP;CODPROD;DESCRPROD;REFERENCIA;CODLOCAL;DESCRLOCAL;CONTROLE;ESTOQUE;RESERVADO;DISPONIVEL;ATIVO;CODGRUPOPROD;DESCRGRUPOPROD
6;201466;MANGUEIRA RESERVATORIO TUBULACAO DIRECAO HIDRAULICA (MWM);201466;101;LOCAL WMS; ;1;1;0;S;0;<SEM GRUPO>
6;201495;MANGUEIRA RETORNO OLEO TURBINA MBB;201495;101;LOCAL WMS; ;2;1;1;S;10105;DISTRIBUICAO MOTOR
6;202863;BICO INJETOR (OFICINA);202863;101;LOCAL WMS; ;6;0;6;S;20299;GRUPO EM MANUTENCAO
6;203006;ARRUELA ENCOSTO MOLA VALVULA MOTOR MB;203006;101;LOCAL WMS; ;354;72;282;S;10301;CARCACA DE MUDANCAS
6;203103;CABECOTE COMPRESSOR 77MM;203103;101;LOCAL WMS; ;1;0;1;S;10301;CARCACA DE MUDANCAS
6;203148;KIT COMPRESSOR MBB 77MM 4 FUROS;203148;101;LOCAL WMS; ;1;0;1;S;10301;CARCACA DE MUDANCAS
6;203235;REPARO POSICIONADOR CAMBIO G60/ G85;203235;101;LOCAL WMS; ;23;0;23;S;0;<SEM GRUPO>
6;203414;PINO INTERRUPTOR POSICAO;203414;101;LOCAL WMS; ;5;1;4;S;0;<SEM GRUPO>
6;203483;ARRUELA ENCOSTO 4ª MARCHA;203483;101;LOCAL WMS; ;4;1;3;S;0;<SEM GRUPO>
6;203515;ARRUELA MOLA VALVULA MBB ELETRONICO;203515;101;LOCAL WMS; ;62;30;32;S;10301;CARCACA DE MUDANCAS
6;203607;BUCHA BIELA COMPRESSOR;203607;101;LOCAL WMS; ;1;0;1;S;10301;CARCACA DE MUDANCAS
6;203636;BUJAO LUBRIFICACAO BLOCO MOTOR ELETRONICO MBB M20X1,5MMM;203636;101;LOCAL WMS; ;1;0;1;S;10301;CARCACA DE MUDANCAS
6;203826;JUNTA TAMPA LATERAL BLOCO;203826;101;LOCAL WMS; ;1;1;0;S;0;<SEM GRUPO>
6;203891;PARAFUSO CABECOTE - M14X152X2,0 MAN D0834 190 CV VW CONS;203891;101;LOCAL WMS; ;2;2;0;S;10101;BLOCO DOS CILINDROS
6;203930;PARAFUSO CABECOTE MBB OM 457 HLA-MB 457.933/938/940/94;203930;101;LOCAL WMS; ;48;24;24;S;10101;BLOCO DOS CILINDROS
6;204005;JUNTA CARTER SOFT PERKINS/MAXION P4236 ID;204005;101;LOCAL WMS; ;1;0;1;S;0;<SEM GRUPO>
6;204268;ANEL ESPACADOR CAMISA MBB OM 457-0,15 MM;204268;101;LOCAL WMS; ;12;6;6;S;10101;BLOCO DOS CILINDROS
6;204748;JOGO JUNTA MOTOR C/ RETENTOR FORD TRACTOR SERIE 10-6600/6610/5610- 4 CIL;204748;101;LOCAL WMS; ;1;0;1;S;10101;BLOCO DOS CILINDROS
6;204897;JUNTA COMPRESSOR AR MBB A457 - 131 01 80;204897;101;LOCAL WMS; ;7;0;7;S;10101;BLOCO DOS CILINDROS
6;204915;SEDE VALVULA ADM OM 364/366LA STD;204915;101;LOCAL WMS; ;8;6;2;S;10101;BLOCO DOS CILINDROS
6;204916;PARAFUSO SEXTAVADO FLANGEADO BIELA M16X67X1,5MM;204916;101;LOCAL WMS; ;14;0;14;S;11301;CHAPA DO ASSOALHO
6;205061;CALCO CAMISA;205061;101;LOCAL WMS; ;6;0;6;S;20299;GRUPO EM MANUTENCAO
6;205795;ARRASTADOR GRANDE BOMBA HIDRAULICA AXOR;205795;101;LOCAL WMS; ;1;0;1;S;11301;CHAPA DO ASSOALHO
6;206329;ARRUELA DISTANCIADORA CAMBIO MBB;206329;101;LOCAL WMS; ;11;0;11;S;10301;CARCACA DE MUDANCAS
6;206480;CORPO SINCRONIZADOR 3ª / 4ª VEL;206480;101;LOCAL WMS; ;4;4;0;S;10301;CARCACA DE MUDANCAS
6;206691;PINO BLOQUEIO CAIXA MUDANCAS;206691;101;LOCAL WMS; ;1;0;1;S;0;<SEM GRUPO>
6;206766;FILTRO DE ÓLEO DIESEL;206766;101;LOCAL WMS; ;1;0;1;S;20299;GRUPO EM MANUTENCAO
